,names,TN,FN,TP,FP,proportion_of_0,proportion_of_1,Accuracy
977,"DocumentCharge,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
978,"DocumentCharge,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.33,0.67,0.03
979,"LoanAmount,DocumentCharge,InsuranceRate/3.csv",0.0,0.97,0.03,0.0,0.65,0.35,0.03
982,"LoanAmount,DocumentCharge,InsuranceRate/1.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
983,"LoanAmount,DocumentCharge,InsuranceRate/5.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
985,"LoanAmount,EMI,ResidenceType,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.58,0.42,0.03
990,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate/2.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
992,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate/1.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
993,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate/5.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
996,"DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
997,"DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
998,"DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
999,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1001,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
1008,"LoanAmount,InsuranceAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.37,0.63,0.03
1009,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,ResidenceType/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1012,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,ResidenceType/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1013,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1017,"DocumentCharge,InterestRate,InsuranceAmount,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
1018,"DocumentCharge,InterestRate,InsuranceAmount,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.37,0.63,0.03
1019,"loantype,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1021,"loantype,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
1022,"loantype,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1024,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
1026,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
1028,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1029,"loantype,DocumentCharge,InterestRate,ResidenceType,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
1030,"loantype,DocumentCharge,InterestRate,ResidenceType,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1031,"loantype,DocumentCharge,InterestRate,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1032,"loantype,DocumentCharge,InterestRate,ResidenceType,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
1033,"loantype,DocumentCharge,InterestRate,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1037,"DocumentCharge,EMI,InterestRate,InsuranceAmount/1.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
1042,"InterestRate,InsuranceRate,ResidenceType,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1044,"LoanAmount,EMI,InsuranceRate,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.65,0.35,0.03
1050,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
1051,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
1052,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
1053,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
1056,"LoanAmount,EMI,InterestRate,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
1059,"loantype,DocumentCharge,InsuranceAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1061,"loantype,DocumentCharge,InsuranceAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.39,0.61,0.03
1065,"loantype,EMI,InterestRate,InsuranceAmount,ResidenceType,RentAmount/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1067,"loantype,EMI,InterestRate,InsuranceAmount,ResidenceType,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
1068,"loantype,EMI,InterestRate,InsuranceAmount,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1071,"loantype,LoanAmount,DocumentCharge,InsuranceRate,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
1072,"loantype,LoanAmount,DocumentCharge,InsuranceRate,ResidenceType,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1073,"loantype,LoanAmount,DocumentCharge,InsuranceRate,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1074,"loantype,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
1075,"loantype,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1076,"loantype,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1077,"loantype,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
1078,"loantype,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1082,"loantype,LoanAmount,DocumentCharge,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1083,"loantype,LoanAmount,DocumentCharge,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1084,DocumentCharge/3.csv,0.0,0.97,0.03,0.0,0.43,0.57,0.03
1085,DocumentCharge/2.csv,0.0,0.97,0.03,0.0,0.47,0.53,0.03
1087,DocumentCharge/1.csv,0.0,0.97,0.03,0.0,0.53,0.47,0.03
1088,DocumentCharge/5.csv,0.0,0.97,0.03,0.0,0.33,0.67,0.03
1089,"LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.56,0.44,0.03
1092,"LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1095,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
1097,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
1103,"LoanAmount,EMI,InterestRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.58,0.42,0.03
1104,"DocumentCharge,InterestRate,ResidenceType/3.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
1105,"DocumentCharge,InterestRate,ResidenceType/2.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
1106,"DocumentCharge,InterestRate,ResidenceType/4.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
1107,"DocumentCharge,InterestRate,ResidenceType/1.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
1110,"loantype,LoanAmount,EMI,InterestRate,ResidenceType,RentAmount/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1112,"loantype,LoanAmount,EMI,InterestRate,ResidenceType,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.52,0.48,0.03
1113,"loantype,LoanAmount,EMI,InterestRate,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1117,"InterestRate,InsuranceAmount,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
1123,"DocumentCharge,EMI,InsuranceRate,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
1124,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1127,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1132,"InsuranceRate,ResidenceType/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1133,"InsuranceRate,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
1134,"loantype,InterestRate,InsuranceAmount,ResidenceType/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
1135,"loantype,InterestRate,InsuranceAmount,ResidenceType/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1136,"loantype,InterestRate,InsuranceAmount,ResidenceType/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1142,"InterestRate,InsuranceAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
1144,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceAmount,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
1147,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceAmount,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
1149,"LoanAmount,DocumentCharge,ResidenceType,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
1150,"LoanAmount,DocumentCharge,ResidenceType,RentAmount/2.csv",0.0,0.97,0.03,0.0,0.58,0.42,0.03
1151,"LoanAmount,DocumentCharge,ResidenceType,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1153,"LoanAmount,DocumentCharge,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1156,"loantype,EMI,InterestRate,InsuranceRate,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
1157,"loantype,EMI,InterestRate,InsuranceRate,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1159,InterestRate/3.csv,0.0,0.97,0.03,0.0,0.51,0.49,0.03
1162,InterestRate/1.csv,0.0,0.97,0.03,0.0,0.47,0.53,0.03
1164,"loantype,LoanAmount,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1168,"loantype,LoanAmount,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1169,"loantype,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1171,"loantype,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
1172,"loantype,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1176,"LoanAmount,InsuranceRate,InsuranceAmount/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
1177,"LoanAmount,InsuranceRate,InsuranceAmount/1.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1178,"LoanAmount,InsuranceRate,InsuranceAmount/5.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
1181,"loantype,InterestRate,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
1182,"loantype,InterestRate,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
1189,"DocumentCharge,EMI,InsuranceAmount/3.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
1197,"loantype,LoanAmount,EMI,InterestRate,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
1203,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1204,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1207,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1208,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1210,"LoanAmount,DocumentCharge,EMI,InterestRate,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
1211,"LoanAmount,DocumentCharge,EMI,InterestRate,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
1212,"LoanAmount,DocumentCharge,EMI,InterestRate,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
1218,"LoanAmount,InsuranceRate,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
1219,"loantype,LoanAmount,DocumentCharge,InsuranceRate,ResidenceType/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1221,"loantype,LoanAmount,DocumentCharge,InsuranceRate,ResidenceType/4.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
1222,"loantype,LoanAmount,DocumentCharge,InsuranceRate,ResidenceType/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1223,"loantype,LoanAmount,DocumentCharge,InsuranceRate,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1227,"DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1228,"DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1231,"loantype,DocumentCharge,EMI,InsuranceRate,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
1232,"loantype,DocumentCharge,EMI,InsuranceRate,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1238,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1241,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate/1.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1244,"InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
1245,"InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1246,"InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.49,0.51,0.03
1248,"DocumentCharge,EMI,InterestRate,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.51,0.49,0.03
1253,"LoanAmount,DocumentCharge,EMI,InterestRate,ResidenceType,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
1254,"LoanAmount,DocumentCharge,EMI,InterestRate,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1256,"LoanAmount,DocumentCharge,EMI,InterestRate,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.58,0.42,0.03
1257,"loantype,DocumentCharge,EMI,ResidenceType,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
1261,"loantype,DocumentCharge,EMI,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1262,"loantype,LoanAmount,DocumentCharge,EMI,ResidenceType,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
1266,"loantype,LoanAmount,DocumentCharge,EMI,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1267,"LoanAmount,DocumentCharge,EMI,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
1272,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1276,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1278,"loantype,DocumentCharge,EMI,InsuranceAmount,ResidenceType,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1279,"loantype,DocumentCharge,EMI,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1280,"loantype,DocumentCharge,EMI,InsuranceAmount,ResidenceType,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
1281,"loantype,DocumentCharge,EMI,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1286,"loantype,LoanAmount,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
1289,"loantype,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.38,0.62,0.03
1293,"loantype,EMI,InsuranceRate,InsuranceAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
1299,"InterestRate,InsuranceRate,ResidenceType/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1300,"InterestRate,InsuranceRate,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
1301,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1303,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
1308,"loantype,LoanAmount,DocumentCharge,InsuranceAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
1309,"loantype,LoanAmount,DocumentCharge,InsuranceAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
1311,"LoanAmount,InterestRate,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.51,0.49,0.03
1313,"LoanAmount,InterestRate,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
1315,"LoanAmount,InterestRate,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.4,0.6,0.03
1317,"loantype,LoanAmount,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1320,"loantype,LoanAmount,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1324,"loantype,DocumentCharge,InterestRate,InsuranceRate,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1336,"LoanAmount,InterestRate,InsuranceAmount,ResidenceType/3.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
1337,"LoanAmount,InterestRate,InsuranceAmount,ResidenceType/2.csv",0.0,0.97,0.03,0.0,0.48,0.52,0.03
1340,"LoanAmount,InterestRate,InsuranceAmount,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.58,0.42,0.03
1341,"loantype,DocumentCharge,EMI,InterestRate,RentAmount/3.csv",0.0,0.97,0.03,0.0,0.53,0.47,0.03
1345,"loantype,DocumentCharge,EMI,InterestRate,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.36,0.64,0.03
1347,"loantype,DocumentCharge,EMI,ResidenceType,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1348,"loantype,DocumentCharge,EMI,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1349,"loantype,DocumentCharge,EMI,ResidenceType,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
1350,"loantype,DocumentCharge,EMI,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1352,"loantype,LoanAmount,InterestRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1355,"loantype,LoanAmount,InterestRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1364,"EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1366,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1369,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1370,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1376,LoanAmount/3.csv,0.0,0.97,0.03,0.0,0.5,0.5,0.03
1377,LoanAmount/2.csv,0.0,0.97,0.03,0.0,0.59,0.41,0.03
1378,LoanAmount/4.csv,0.0,0.97,0.03,0.0,0.45,0.55,0.03
1380,LoanAmount/5.csv,0.0,0.97,0.03,0.0,0.4,0.6,0.03
1383,"loantype,DocumentCharge,EMI,ResidenceType/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1385,"loantype,DocumentCharge,EMI,ResidenceType/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1388,"DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.42,0.58,0.03
1389,"DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1390,"DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.43,0.57,0.03
1393,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.44,0.56,0.03
1395,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1396,"DocumentCharge,EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.56,0.44,0.03
1399,"DocumentCharge,EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1407,"LoanAmount,DocumentCharge,EMI,InsuranceAmount,ResidenceType,RentAmount/2.csv",0.0,0.97,0.03,0.0,0.54,0.46,0.03
1408,"LoanAmount,DocumentCharge,EMI,InsuranceAmount,ResidenceType,RentAmount/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1412,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/2.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1413,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1415,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1419,"loantype,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/1.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1420,"loantype,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1421,"loantype,LoanAmount,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.0,0.97,0.03,0.0,0.55,0.45,0.03
1423,"loantype,LoanAmount,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
1424,"loantype,LoanAmount,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/1.csv",0.0,0.97,0.03,0.0,0.5,0.5,0.03
1425,"loantype,LoanAmount,DocumentCharge,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1430,"loantype,LoanAmount,EMI,InsuranceAmount,ResidenceType,RentAmount/5.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1431,"loantype,InterestRate,InsuranceAmount/3.csv",0.0,0.97,0.03,0.0,0.45,0.55,0.03
1434,"loantype,InterestRate,InsuranceAmount/1.csv",0.0,0.97,0.03,0.0,0.47,0.53,0.03
1435,"loantype,InterestRate,InsuranceAmount/5.csv",0.0,0.97,0.03,0.0,0.46,0.54,0.03
1436,"EMI,InterestRate,InsuranceRate/3.csv",0.0,0.97,0.03,0.0,0.41,0.59,0.03
