Name,Designation,DOB,URL,Constituency,Remarks
Malik Shehzad Awan,Member of Sindh Assembly (Provincial),6/7/1986,http://www.pas.gov.pk/index.php/members/profile/en/32/729,PS-116 Karachi West-V,"{'Academic Qualifications': 'Matric', 'Profession(s)': 'Transpoter', 'Party Affiliation': 'Pakistan Tehreek-e-Insaf', 'Email': 'malik.shahzad.pti@gmail.com', ""Father's/Husband's Name"": 'Ghulam Muhammad', 'Marital Status': 'Married', 'Children': 'Three', 'Permanent Contact': 'H.No.154 KESC No.26, Street 3, Block-F, Muhallah Usman-e-Ghani Masjid, Baldia Town, Karachi\n(O)021-2355995 (M)0335-9500000', 'Religion': 'Islam'}"
Malik Asad Sikander,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/689,PS-82 Jamshoro-III,"{'Academic Qualifications': 'Matric', 'Profession(s)': 'Landlord', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Malik Sikander', 'Marital Status': 'Married', 'Children': 'Three', 'Permanent Contact': 'Malik House, Malik Mohalla, Kotri, District Jamshoro\n022-3875522', 'Present Contact': 'Bunglow No.10/B, 11th Central Street, Phase II, DHA, Karachi\n021-35881823, (M)0300-8252877, 0345099999', 'Religion': 'Islam'}"
Mahmood Alam Jamot,Member of Sindh Assembly (Provincial),28-09-69,http://www.pas.gov.pk/index.php/members/profile/en/32/640,PS-91 Malir-V,"{'Academic Qualifications': 'BA : FC College Lahore', 'Profession(s)': 'Businessperson', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'mahmoodjamot@gmail.com', ""Father's/Husband's Name"": 'Taj Muhammad Jamot', 'Marital Status': 'Married', 'Children': 'Three', 'Place of Birth': 'Karachi', 'Permanent Contact': 'Jamot House, Ibrahim Hydri, Korangi Creek, Karachi\n0300-2037301', 'Religion': 'Islam'}"
Madad Ali Khan,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/664,PS-43 Sanghar-III,"{'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Jam Anwer Ali Khan', 'Marital Status': 'Married', 'Religion': 'Islam'}"
Liaquat Ali Askani,Member of Sindh Assembly (Provincial),6/2/1983,http://www.pas.gov.pk/index.php/members/profile/en/32/600,PS-112 Karachi West-I,"{'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Muhammad Yousuf', 'Marital Status': 'Married', 'Children': 'Three', 'Place of Birth': 'Karachi'}"
Lal Chand Ukrani,Member of Sindh Assembly (Provincial),1/2/1969,http://www.pas.gov.pk/index.php/members/profile/en/32/715,RSM-162,"{'Academic Qualifications': 'MBBS : LUMHS', 'Profession(s)': 'Doctor', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'lal.ukrani@hotmail.com', ""Father's/Husband's Name"": 'Kundan Mal', 'Marital Status': 'Married', 'Children': 'Three', 'Place of Birth': 'Dadu', 'Permanent Contact': 'P.O. Thano Ahmed Khan,Talika T.B.Khan, District Jamshoro', 'Present Contact': 'Banglow No. 7A/1/2, Street No.20, Khayaban-e-Tohid, Phase V, DHA, Karachi.\n0300-8264540', 'Religion': 'Hinduism'}"
Kulsoom Akhtar Chandio,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/706,RSW-146,"{'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Peer Niaz Muhammad Shah', 'Marital Status': 'Married', 'Religion': 'Islam'}"
Khurram Sher Zaman,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/726,PS-110 Karachi South-IV,"{'Party Affiliation': 'Pakistan Tehreek-e-Insaf', ""Father's/Husband's Name"": 'Sher Zaman', 'Marital Status': 'Married', 'Religion': 'Islam'}"
Khawaja Izhar ul Hassan,Member of Sindh Assembly (Provincial),26-10-71,http://www.pas.gov.pk/index.php/members/profile/en/32/594,PS-124 Karachi Central-II,"{'Academic Qualifications': 'MBA : Preston Institute L.L.B. : University of Karachi B.Sc : University of Karachi', 'Party Affiliation': 'Mutahida Quami Movement Pakistan', ""Father's/Husband's Name"": 'Khawaja Noor ul Hassan', 'Marital Status': 'Married', 'Children': 'Three', 'Place of Birth': 'Karachi', 'Permanent Contact': 'House No. R-422, Sector 15-A/3, North Karachi, Bufferzone, Karachi\n(O)021-34983990 (M)0301-8263052', 'Religion': 'Islam'}"
Khan Muhammad Dahri,Member of Sindh Assembly (Provincial),4/6/1964,http://www.pas.gov.pk/index.php/members/profile/en/32/611,PS-40 Shaheed Benazirabad-IV,"{'Academic Qualifications': 'MA : Political Science from Sindh University', 'Profession(s)': 'Landlord', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Jan Muhammad Dahri', 'Marital Status': 'Married', 'Children': 'Two', 'Religion': 'Islam'}"
Karim Bux Gabol,Member of Sindh Assembly (Provincial),5/6/1974,http://www.pas.gov.pk/index.php/members/profile/en/32/601,PS-100 Karachi East-II,"{'Profession(s)': 'Businessperson', 'Party Affiliation': 'Pakistan Tehreek-e-Insaf', ""Father's/Husband's Name"": 'Ramzan Gabol', 'Marital Status': 'Married', 'Children': '05', 'Place of Birth': 'Karachi', 'Present Contact': 'Paryo Safoora Gabol Goth, House No. R-01,Safoora Chowk,Karachi.0333 2134001', 'Religion': 'Islam'}"
Kanwar Naveed Jameel,Member of Sindh Assembly (Provincial),15-03-64,http://www.pas.gov.pk/index.php/members/profile/en/32/598,PS-127 Karachi Central-V,"{'Academic Qualifications': 'L.L.B. : Jinah Law College Hyderabad B.Sc : Government Degree College Hyderabad', 'Profession(s)': 'Businessperson', 'Party Affiliation': 'Mutahida Quami Movement Pakistan', 'Email': 'kanwer.naveed@gmail.com', ""Father's/Husband's Name"": 'Kanwar Jameel Ahmed', 'Marital Status': 'Married', 'Children': 'Two', 'Place of Birth': 'Karachi', 'Permanent Contact': 'House No.160-B, Unit No.2, Latifabad, Hyderabad.\n0229260108, 0300-8221627', 'Present Contact': 'Bungalow No.13-A, Phase-I, DHA, Near Defence Head Office, Karachi.\n0300-8221627', 'Religion': 'Islam'}"
Javed Hanif Khan,Member of Sindh Assembly (Provincial),23-04-55,http://www.pas.gov.pk/index.php/members/profile/en/32/622,PS-95 Korangi Karachi-IV,"{'Academic Qualifications': 'MA : University of Karachi. L.L.B. : University of Karachi BE : B.E Civil From N.E.D University', 'Party Affiliation': 'Mutahida Quami Movement Pakistan', 'Email': 'mjhk1@hotmail.com', ""Father's/Husband's Name"": 'Muhammad Hanif Khan', 'Marital Status': 'Married', 'Children': '03', 'Place of Birth': 'Karachi', 'Permanent Contact': 'House No.110, Street -29 ,Khayaban-e-Sehar phase-6, Defence\xa0 Karach.Office(021-35373188)Mobile(0334-3471190)Res.021-35242936.', 'Present Contact': 'House No.110, Street -29 ,Khayaban-e-Sehar phase-6, Defence\xa0 Karachi.', 'Religion': 'Islam'}"
Jamaluddin Siddiqi,Member of Sindh Assembly (Provincial),4/1/1972,http://www.pas.gov.pk/index.php/members/profile/en/32/615,PS-106 Karachi East-VIII,"{'Academic Qualifications': 'MA', 'Profession(s)': 'Businessperson', 'Party Affiliation': 'Pakistan Tehreek-e-Insaf', 'Email': 'jamals72@gmail.com', ""Father's/Husband's Name"": 'Moinuddin Siddiqi', 'Marital Status': 'Married', 'Children': 'Three', 'Place of Birth': 'Hyderabad', 'Permanent Contact': 'H.No.A-607, Sand View Homes, Frere Town, Clifton, Karachi\n0321-8267121', 'Religion': 'Islam'}"
Jam Khan Shoro,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/675,PS-62 Hyderabad-I,"{'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Deedar Hussain Shoro', 'Religion': 'Islam'}"
Imtiaz Ahmed Shaikh,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/647,PS-7 Shikarpur-I,"{'Current Posts': 'Minister: Energy', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Abdul Rehman Shaikh', 'Religion': 'Islam'}"
Imdad Ali Pitafi,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/674,PS-61 Tando Allahyar-II,"{'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Bux Ali', 'Religion': 'Islam'}"
Ikramullah Khan,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/655,PS-22 Sukkur-I,"{'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Abdul Sattar Khan', 'Religion': 'Islam'}"
Hizbullah Bughio,Member of Sindh Assembly (Provincial),14-08-56,http://www.pas.gov.pk/index.php/members/profile/en/32/623,PS-13 Larkana-IV,"{'Academic Qualifications': 'BA : Karachi National College', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Sardar Wahid Bux Bughio', 'Marital Status': 'Married', 'Place of Birth': 'Larkana', 'Permanent Contact': 'R/O Village New Gudd, Taluka Bakarani, District Larkana\n0300-9254046', 'Religion': 'Islam'}"
Hina Dastagir,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/697,RSW-134,"{'Academic Qualifications': 'MA : Economics - University of Sindh L.L.B. : University of Sindh BA(Hons) : University of Sindh', 'Profession(s)': 'Politician', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'bazildhamrah1967@gmail.com', ""Father's/Husband's Name"": 'Mukhtiar Ahmed', 'Marital Status': 'Married', 'Children': 'One', 'Place of Birth': 'Kotri', 'Permanent Contact': 'Near Jamia Masjid Usmania Muhalla Dhamrah Manzil Shah Pur Chaker Tehsil Shahdadpur District Sanghar.\n(R)0223874172 (M)0300-2754830', 'Present Contact': 'House No.821 Muhalla Dastagir House Malik Para Kotri, District Jamshoro', 'Religion': 'Islam'}"
Heer Soho,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/705,RSW-145,"{'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Muhammad Azam', 'Marital Status': 'Married', 'Religion': 'Islam'}"
Hasnian Ali Mirza,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/739,"PS-72 Badin-III	","{'Party Affiliation': 'Grand Democratic Alliance', ""Father's/Husband's Name"": 'ZulfiqarAli Mirza', 'Religion': 'Islam'}"
Hari Ram,Member of Sindh Assembly (Provincial),29-05-52,http://www.pas.gov.pk/index.php/members/profile/en/32/666,PS-47 Mirpurkhas-I,"{'Current Posts': 'Minister: Minorties Affairs,\xa0Social Welfare,\xa0Prisons', 'Academic Qualifications': 'Matric', 'Profession(s)': 'Landlord', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'hariramkishorilal7@gmail.com', ""Father's/Husband's Name"": 'Kishori Lal', 'Marital Status': 'Married', 'Children': 'Three', 'Place of Birth': 'Mirpurkhas', 'Permanent Contact': 'Noor Shah Colony, Mirpurkhas', 'Present Contact': 'H.No.B-62, Street No.13, Gulshan-e-Faisal, Bath Island, Clifton, Karachi\n(R)021-35837490 (O & F)021-99217977 (M)0302-2114426', 'Religion': 'Hinduism'}"
Hamid uz Zafar,Member of Sindh Assembly (Provincial),18-02-52,http://www.pas.gov.pk/index.php/members/profile/en/32/613,PS-93 Korangi Karachi-II,"{'Academic Qualifications': 'BA : Karachi University', 'Profession(s)': 'Businessperson', 'Party Affiliation': 'Mutahida Quami Movement Pakistan', 'Email': 'hamiduzzafar@live.com', ""Father's/Husband's Name"": 'Nasibdad Khan', 'Marital Status': 'Married', 'Children': 'Three', 'Place of Birth': 'Karachi', 'Permanent Contact': 'C-72, Tipu Sultan Co-operative Housing Society, Jinnah Avenue, Scheme 33, Karachi\n(R)021-34027401 (M)0300-9245324', 'Religion': 'Islam'}"
Haleem Adil Sheikh,Member of Sindh Assembly (Provincial),22-02-66,http://www.pas.gov.pk/index.php/members/profile/en/32/589,PS-99 Karachi East-I,"{'Academic Qualifications': 'BA : Bachelor of Arts From Karachi University.', 'Party Affiliation': 'Pakistan Tehreek-e-Insaf', 'Email': 'haleemadilsheikh@gmail.com', ""Father's/Husband's Name"": 'Imamud Din Adil', 'Marital Status': 'Married', 'Children': '07', 'Place of Birth': 'Karachi', 'Permanent Contact': 'House No.23, Street No.3 AOHS,behind National Stadium Gulshan-e- Iqbal Karachi.\n(O)021-34830203 (M)0300-8286526 (F)02134830201', 'Religion': 'Islam'}"
Giyanoo Mal,Member of Sindh Assembly (Provincial),1/1/1960,http://www.pas.gov.pk/index.php/members/profile/en/32/688,PS-81 Jamshoro-II,"{'Profession(s)': 'Businessperson', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Aloo Mal', 'Marital Status': 'Married', 'Children': 'Four', 'Place of Birth': 'Sarri', 'Permanent Contact': 'Village Sarri, Taluka Thano Bula Khan, District Jamshoro', 'Present Contact': '115/1, Khayaban-e-Bahria, Phase V, DHA, Karachi\n(O)35655293 (M)0300--8250005, 0300-3060168', 'Religion': 'Hinduism'}"
Ghulam Qadir Chandio,Member of Sindh Assembly (Provincial),15-10-59,http://www.pas.gov.pk/index.php/members/profile/en/32/596,PS-39 Shaheed Benazirabad-III,"{'Academic Qualifications': 'MA : Shah Abdul Latif University Khairpur BA : University of Sindh', 'Profession(s)': 'Agriculturist', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Punhal Khan Chandio', 'Marital Status': 'Married', 'Children': 'Two', 'Place of Birth': 'Nawabshah-Shaheed Benazirabad', 'Permanent Contact': 'Village Punhal Khan Chandio, Post Office Sakrand, Taluka Sakrand, District Shaheed Benazirabad.\n(R) 0244441144, (O) 0244363302, (F) 0244441199, (M) 0300-3201038', 'Present Contact': 'C-40, 5th Street, East Avenue, Phase I, DHA, Karachi\n(R) 02135390098, (M) 0300-3201038', 'Religion': 'Islam'}"
Ghulam Murtaza Baloch,Member of Sindh Assembly (Provincial),4/8/1964,http://www.pas.gov.pk/index.php/members/profile/en/32/692,PS-88 Malir-II,"{'Current Posts': 'Minister: Labour,\xa0Human Resources', 'Academic Qualifications': 'B.Com', 'Profession(s)': 'Landlord', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'murtazabaloch85@yahoo.com', ""Father's/Husband's Name"": 'Muhammad Yousuf Baloch', 'Marital Status': 'Married', 'Children': 'Six', 'Place of Birth': 'Karachi', 'Permanent Contact': 'Haji Faqeer Muhammad Village Gadap Malir, U.C Gadap', 'Present Contact': 'House No.182, DOHS, Phase I, Malir Cantt: Karachi, Malir\n0300-2147573', 'Religion': 'Islam'}"
Ghulam Jellani,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/744,PS-96 Korangi Karachi-V,"{'Party Affiliation': 'Mutahida Quami Movement Pakistan', ""Father's/Husband's Name"": 'Gul Shed Ahmed Khan', 'Religion': 'Islam'}"
Ghazalla Sial,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/699,RSW-138,"{'Academic Qualifications': 'MA : S.A.LU L.L.B. : S.A.L.U', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'gazalasial38@gmail.com', ""Father's/Husband's Name"": 'Abdul Momin Memon', 'Marital Status': 'Married', 'Place of Birth': 'Khairpur', 'Permanent Contact': 'Siyal House, Saida Goth, Taluka and District Khairpur Mirs', 'Present Contact': 'Flat No.5, Plot No.9-C, Phase VI, Chotta Bukhari Commercial, DHA, Karachi\n0300-3157954', 'Religion': 'Islam'}"
Ghanwer Ali Khan Isran,Member of Sindh Assembly (Provincial),8/2/1988,http://www.pas.gov.pk/index.php/members/profile/en/32/651,PS-15 Kamber Shahdadkot-II,"{'Academic Qualifications': 'L.L.B. : Sussex University', 'Profession(s)': 'Advocate', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'ghanwer_isran@hotmail.com', ""Father's/Husband's Name"": 'Shaheed Hussain Isran', 'Marital Status': 'Unmarried', 'Place of Birth': 'Larkana', 'Permanent Contact': 'House No.55, 18th Street, Khayaban-e-Badban, Phase V, DHA, Karachi, Sindh\n(R) 021-35851676, (M)0300-0890999', 'Present Contact': 'Ghanwer House 1331/C, Nawa Tail, Larkana', 'Religion': 'Islam'}"
Firdous Shamim Naqvi,Member of Sindh Assembly (Provincial),10/5/1956,http://www.pas.gov.pk/index.php/members/profile/en/32/590,PS-101 Karachi East-III,"{'Current Posts': 'Leader of Opposition', 'Academic Qualifications': 'M.Sc. : M.S.C.E(High Ways) From University of Michigan. M.Sc. : M.S.C.EConst.MasGMT) From University of Michigan. BE : BE Civil From NED University.', 'Profession(s)': 'Businessperson', 'Party Affiliation': 'Pakistan Tehreek-e-Insaf', 'Email': 'fsn4pti@gmail.com', ""Father's/Husband's Name"": 'Late Shamim Naqvi', 'Marital Status': 'Married', 'Children': 'Five', 'Place of Birth': 'Faisalabad', 'Permanent Contact': 'C-141 KDA 1-Ext Karachi.\nOffice: 34312030 Mobile(0300 2014456) Res: 34946081', 'Religion': 'Islam'}"
Fayaz Ali Butt,Member of Sindh Assembly (Provincial),2/5/1974,http://www.pas.gov.pk/index.php/members/profile/en/32/639,PS-84 Dadu-II,"{'Academic Qualifications': 'MA : Economics - Sindh University Jamshor L.L.B. : Sindh University Jamshoro BA : Sindh University Jamshoro', 'Profession(s)': 'Advocate\t\t\t\t\n\t\t\tLandlord', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'fayazbuttmpa@gmail.com', ""Father's/Husband's Name"": 'Munawar Ali Butt', 'Marital Status': 'Married', 'Children': 'Two', 'Place of Birth': 'Mehar', 'Permanent Contact': 'Village Butt Serai Taluka Mehar, District Dadu\n0300-2122999', 'Present Contact': '53-H, Askari-III, School Road Karachi Cantt:\n0300-2122999', 'Religion': 'Islam'}"
Faryal Talpur,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/648,PS-10 Larkana-I,"{'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Mr. Munawar Ali Talpur', 'Marital Status': 'Married', 'Religion': 'Islam'}"
Farukh Ahmed Shah,Member of Sindh Assembly (Provincial),27-05-82,http://www.pas.gov.pk/index.php/members/profile/en/32/621,PS-24 Sukkur-III,"{'Academic Qualifications': 'BA : Shah Abdul Latif University Khairpur', 'Profession(s)': 'Landlord', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 's.farukh.shah@gmail.com', ""Father's/Husband's Name"": 'Syed Khurshid Ahmed Shah', 'Marital Status': 'Married', 'Children': '02', 'Place of Birth': 'Sukkur', 'Permanent Contact': 'Manzil Gah Road, Sukkur', 'Present Contact': 'H.No.40/1, Main Khayaban-e-Shujjat, Phase V, DHA, Karachi\n(R) 021-35855077 (O) 0333-7104943 (M) 0331-5555558', 'Religion': 'Islam'}"
Farhat Seemen,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/619,RSW-140,"{'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Shahjahan Nadeem', 'Marital Status': 'Married', 'Children': 'Four', 'Place of Birth': 'Ratodero', 'Permanent Contact': 'Soomro House, Motaupur Mohalla, Ratodero, District Larkana', 'Present Contact': 'B-5, First Floor, Sea Breeze Super Star Apartment, Block-7, Clifton, Karachi', 'Religion': 'Islam'}"
Faraz Dero,Member of Sindh Assembly (Provincial),2/4/1980,http://www.pas.gov.pk/index.php/members/profile/en/32/665,PS-44 Sanghar-IV,"{'Current Posts': 'Minister: Auqaf,\xa0Relgious Affairs,\xa0Zakat & Ushr', 'Academic Qualifications': 'Matric : Lawrence College Murree', 'Profession(s)': 'Agriculturist', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'farazderops82@gmail.com', ""Father's/Husband's Name"": 'Muhammad Alam Dero', 'Marital Status': 'Married', 'Children': 'Four', 'Place of Birth': 'Tando Adam', 'Permanent Contact': 'Village Mulla Makhan Tando Adam, District Sanghar', 'Present Contact': 'House 2/2, 19 Street Zulfiqar Off Khayaban-e-Ghalib, Phase VIII, DHA, Karachi\n0300-8376736', 'Religion': 'Islam'}"
Faqir Sher Muhammad Bilalani,Member of Sindh Assembly (Provincial),2/1/1958,http://www.pas.gov.pk/index.php/members/profile/en/32/625,PS-56 Tharparkar-III,"{'Academic Qualifications': 'MA : Sindh University, Jamshoro BA : Sindh University, Jamshoro', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Faqir Faiz Muhammad Bilalani', 'Marital Status': 'Married', 'Children': '04', 'Place of Birth': 'Veenjhniyari', 'Permanent Contact': 'Bilalani House, Mithi, Near Grid Station, Tharparkar\nMobile(0345-2926010),WhatsApp( 03332519480)', 'Religion': 'Islam'}"
Bilal Ahmed,Member of Sindh Assembly (Provincial),14-09-77,http://www.pas.gov.pk/index.php/members/profile/en/32/612,PS-103 Karachi East-V,"{'Academic Qualifications': 'MBA : Hamdard University BBA : Commerce College', 'Profession(s)': 'Businessperson', 'Party Affiliation': 'Pakistan Tehreek-e-Insaf', 'Email': 'bilalahmedghaffar@gmail.com', ""Father's/Husband's Name"": 'Ahmed Ghaffar', 'Marital Status': 'Married', 'Children': 'Three', 'Place of Birth': 'Karachi', 'Permanent Contact': '74-B, Sindhi Muslim Housing Society, Karachi.\n0333-2111913', 'Religion': 'Islam'}"
Basit Ahmed Siddiqui,Member of Sindh Assembly (Provincial),23-03-88,http://www.pas.gov.pk/index.php/members/profile/en/32/746,PS-121 Karachi West-X,"{'Academic Qualifications': 'Intermediate : Karachi Board', 'Party Affiliation': 'Mutahida Quami Movement Pakistan', ""Father's/Husband's Name"": 'Qaiser Ahmed', 'Marital Status': 'Unmarried', 'Permanent Contact': 'House No. N-1200, Sector 4-D, Surjani Town, Karachi\n0311-2496595', 'Religion': 'Islam'}"
Bashir Ahmed,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/679,PS-70 Badin-I,"{'Profession(s)': 'Landlord', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Haji Muhammad Saleh', 'Marital Status': 'Married', 'Children': 'Six', 'Place of Birth': 'Matli - Badin', 'Permanent Contact': 'Village Bashir Ahmed halepoto, Taluka Matli, District Badin\n0300-2278345, 0301-3601804', 'Religion': 'Islam'}"
Azra,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/591,PS-37 Shaheed Benazirabad-I,"{'Current Posts': 'Minister: Health,\xa0Population Welfare', 'Academic Qualifications': 'MBBS : Dow University, Karachi MCPS : College of Physicians & Surgeons DCH : College of Physicians & Surgeons', 'Profession(s)': 'Doctor\t\t\t\t\n\t\t\tEducationist\t\t: Chancellor SZABIST', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'azrapechuho@me.com', ""Father's/Husband's Name"": 'Dr. Fazlullah Pechuho', 'Marital Status': 'Married', 'Children': 'One', 'Place of Birth': 'Nawabshah-Shaheed Benazirabad', 'Permanent Contact': 'Officers Housing Society, ZArdari House, Nawabshah - Shaheed Benazirabad', 'Present Contact': '89 A/1, 24th Street, Khayaban-e-Sehr, DHA VI, Karachi\n(R)021-35844777, (M)0300-8504555', 'Religion': 'Islam'}"
Awais Qadir Shah,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/656,PS-23 Sukkur-II,"{'Current Posts': 'Minister: Transport & Mass Transit', 'Academic Qualifications': 'BE : Civil Technology from Mehran Engg: University Jamshoro', 'Profession(s)': 'Businessperson\t\t\t\t\n\t\t\tLandlord', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Syed Abdul Qadir Shah', 'Marital Status': 'Married', 'Place of Birth': 'Sukkur', 'Permanent Contact': 'A-124, Sindhi Cooperative Housing Society Airport Road, Sukkur.\n0300-8314455, 0333-7101110', 'Religion': 'Islam'}"
Awais Bijar Khan Jokhio,Member of Sindh Assembly (Provincial),12/1/1982,http://www.pas.gov.pk/index.php/members/profile/en/32/687,PS-79 Thatta-III,"{'Academic Qualifications': 'BA', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'awais.bijar@gmail.com', ""Father's/Husband's Name"": 'Jam Bijar Khan Jokhio', 'Marital Status': 'Married', 'Permanent Contact': 'Malir City, Jam Murad Ali Village, P.O Malir City, District Malir, Karachi\n0300-8275229', 'Religion': 'Islam'}"
Arsalan Taj Hussain,Member of Sindh Assembly (Provincial),3/6/1985,http://www.pas.gov.pk/index.php/members/profile/en/32/608,PS-102 Karachi East-IV,"{'Profession(s)': 'Businessperson', 'Party Affiliation': 'Pakistan Tehreek-e-Insaf', 'Email': 'arsalan.ghumman@insaf.pk', ""Father's/Husband's Name"": 'Taj Hussain', 'Marital Status': 'Married', 'Children': 'One', 'Place of Birth': 'Karachi', 'Present Contact': 'House No. E-132/1, Block-7, Gulshan-e-Iqbal, Karachi East.\n0321-9090118'}"
Arif Mustafa Jatoi,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/735,PS-36 Naushahro Feroze-IV,"{'Party Affiliation': 'Grand Democratic Alliance', ""Father's/Husband's Name"": 'Ghulam Mustafa Jatoi', 'Religion': 'Islam'}"
Arbab Lutfullah,Member of Sindh Assembly (Provincial),12/9/1990,http://www.pas.gov.pk/index.php/members/profile/en/32/642,PS-57 Tharparkar-IV,"{'Academic Qualifications': 'Intermediate : BISE Hyderabad', 'Profession(s)': 'Businessperson\t\t\t\t\n\t\t\tLandlord', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Ameer Hassan', 'Marital Status': 'Married', 'Children': 'Two', 'Present Contact': 'House No. 190, Street No.40, Phase VI, DHA, Karachi\n0345-2078787', 'Religion': 'Islam'}"
Anthony Naveed,Member of Sindh Assembly (Provincial),5/4/1971,http://www.pas.gov.pk/index.php/members/profile/en/32/716,RSM-163,"{'Academic Qualifications': 'D.A.E : Garment Technology', 'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', 'Email': 'anthony.naveed71@gmail.com', ""Father's/Husband's Name"": 'Rehmat Masih', 'Marital Status': 'Married', 'Children': 'Four', 'Place of Birth': 'Karachi', 'Permanent Contact': 'H.No.185, Sector ""C"", Street No.05, Akhtar Colony, Karachi.\n03142987238', 'Religion': 'Christianity'}"
Allah Bux Talpur,Member of Sindh Assembly (Provincial),,http://www.pas.gov.pk/index.php/members/profile/en/32/680,PS-71 Badin-II,"{'Party Affiliation': 'Pakistan Peoples Party Parliamentarians', ""Father's/Husband's Name"": 'Mir Ahsan Ali', 'Religion': 'Islam'}"
