,names,size,TN,FN,TP,FP,proportion_of_0,proportion_of_1,Accuracy
2065,"loantype,LoanAmount,RentAmount/3.csv",9177,0.0,0.97,0.03,0.0,0.46,0.54,0.03
2067,"loantype,LoanAmount,RentAmount/4.csv",3022,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2069,"loantype,LoanAmount,RentAmount/5.csv",2014,0.0,0.97,0.03,0.0,0.4,0.6,0.03
2073,"DocumentCharge,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/1.csv",14045,0.0,0.97,0.03,0.0,0.46,0.54,0.03
2074,"DocumentCharge,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/5.csv",1452,0.0,0.97,0.03,0.0,0.43,0.57,0.03
2075,"loantype,DocumentCharge,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/3.csv",5161,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2076,"loantype,DocumentCharge,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/2.csv",16077,0.0,0.97,0.03,0.0,0.54,0.46,0.03
2079,"loantype,DocumentCharge,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/5.csv",4554,0.0,0.97,0.03,0.0,0.39,0.61,0.03
2086,"DocumentCharge,EMI,InsuranceRate,InsuranceAmount,NoOfDependents/2.csv",15643,0.0,0.97,0.03,0.0,0.55,0.45,0.03
2092,"EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",1700,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2095,"DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",7947,0.0,0.97,0.03,0.0,0.56,0.44,0.03
2097,"DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",1700,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2098,"DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/1.csv",14045,0.0,0.97,0.03,0.0,0.46,0.54,0.03
2099,"DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/5.csv",1452,0.0,0.97,0.03,0.0,0.43,0.57,0.03
2105,"loantype,InsuranceAmount,RentAmount,NoOfDependents/3.csv",5161,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2112,"DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",1700,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2113,"DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",14045,0.0,0.97,0.03,0.0,0.46,0.54,0.03
2118,"DocumentCharge,InterestRate,InsuranceRate/1.csv",12150,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2119,"DocumentCharge,InterestRate,InsuranceRate/5.csv",3347,0.0,0.97,0.03,0.0,0.37,0.63,0.03
2120,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount,NoOfDependents/3.csv",5161,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2130,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",4577,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2133,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",10407,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2134,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",584,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2135,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,RentAmount/3.csv",5161,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2137,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,RentAmount/4.csv",4263,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2138,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,RentAmount/1.csv",10435,0.0,0.97,0.03,0.0,0.55,0.45,0.03
2141,"loantype,EMI,InsuranceRate/2.csv",8383,0.0,0.97,0.03,0.0,0.5,0.5,0.03
2142,"loantype,EMI,InsuranceRate/4.csv",963,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2145,"InterestRate,RentAmount/3.csv",7133,0.0,0.97,0.03,0.0,0.51,0.49,0.03
2148,"InterestRate,RentAmount/1.csv",12312,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2150,"loantype,LoanAmount,DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",4577,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2152,"loantype,LoanAmount,DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",10252,0.0,0.97,0.03,0.0,0.53,0.47,0.03
2153,"loantype,LoanAmount,DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType/1.csv",10407,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2154,"loantype,LoanAmount,DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType/5.csv",584,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2159,"loantype,LoanAmount,EMI,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/5.csv",584,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2163,"loantype,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/1.csv",10407,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2165,"loantype,LoanAmount,InsuranceRate,RentAmount,NoOfDependents/3.csv",4198,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2167,"loantype,LoanAmount,InsuranceRate,RentAmount,NoOfDependents/4.csv",963,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2170,"loantype,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",4577,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2172,"loantype,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/4.csv",10252,0.0,0.97,0.03,0.0,0.53,0.47,0.03
2174,"loantype,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/5.csv",584,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2175,"LoanAmount,EMI,InterestRate,InsuranceRate,RentAmount/3.csv",7776,0.0,0.97,0.03,0.0,0.5,0.5,0.03
2179,"LoanAmount,EMI,InterestRate,InsuranceRate,RentAmount/5.csv",2237,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2183,"InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/1.csv",14308,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2185,"loantype,DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",4577,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2187,"loantype,DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",10252,0.0,0.97,0.03,0.0,0.53,0.47,0.03
2188,"loantype,DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType/1.csv",10407,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2193,"loantype,LoanAmount,DocumentCharge,InsuranceRate,RentAmount,NoOfDependents/1.csv",7342,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2194,"loantype,LoanAmount,DocumentCharge,InsuranceRate,RentAmount,NoOfDependents/5.csv",3957,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2201,"DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",1700,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2203,"DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType/5.csv",1452,0.0,0.97,0.03,0.0,0.43,0.57,0.03
2204,"InterestRate,NoOfDependents/3.csv",7133,0.0,0.97,0.03,0.0,0.51,0.49,0.03
2205,"InterestRate,NoOfDependents/2.csv",12413,0.0,0.97,0.03,0.0,0.52,0.48,0.03
2207,"InterestRate,NoOfDependents/1.csv",12312,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2209,"LoanAmount,DocumentCharge,InsuranceAmount/3.csv",6404,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2211,"LoanAmount,DocumentCharge,InsuranceAmount/4.csv",2311,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2219,"loantype,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",8561,0.0,0.97,0.03,0.0,0.55,0.45,0.03
2220,"loantype,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/2.csv",4576,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2221,"loantype,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",1947,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2222,"loantype,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/1.csv",23855,0.0,0.97,0.03,0.0,0.5,0.5,0.03
2223,"loantype,DocumentCharge,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",585,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2225,"LoanAmount,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/2.csv",14380,0.0,0.97,0.03,0.0,0.53,0.47,0.03
2227,"LoanAmount,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/1.csv",14045,0.0,0.97,0.03,0.0,0.46,0.54,0.03
2232,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,ResidenceType/1.csv",8983,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2233,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,ResidenceType/5.csv",1201,0.0,0.97,0.03,0.0,0.46,0.54,0.03
2234,"loantype,DocumentCharge,EMI,InterestRate,ResidenceType,RentAmount,NoOfDependents/3.csv",8561,0.0,0.97,0.03,0.0,0.55,0.45,0.03
2235,"loantype,DocumentCharge,EMI,InterestRate,ResidenceType,RentAmount,NoOfDependents/2.csv",4584,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2237,"loantype,DocumentCharge,EMI,InterestRate,ResidenceType,RentAmount,NoOfDependents/1.csv",23855,0.0,0.97,0.03,0.0,0.5,0.5,0.03
2238,"loantype,DocumentCharge,EMI,InterestRate,ResidenceType,RentAmount,NoOfDependents/5.csv",577,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2240,"loantype,InterestRate,ResidenceType,RentAmount/2.csv",4570,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2241,"loantype,InterestRate,ResidenceType,RentAmount/4.csv",1947,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2248,"loantype,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",584,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2253,"loantype,LoanAmount,EMI,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",584,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2255,"EMI,InsuranceRate,InsuranceAmount,RentAmount/2.csv",6423,0.0,0.97,0.03,0.0,0.52,0.48,0.03
2258,"EMI,InsuranceRate,InsuranceAmount,RentAmount/5.csv",4218,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2261,"EMI,ResidenceType/4.csv",1963,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2263,"loantype,LoanAmount,DocumentCharge,ResidenceType,RentAmount/3.csv",8561,0.0,0.97,0.03,0.0,0.55,0.45,0.03
2265,"loantype,LoanAmount,DocumentCharge,ResidenceType,RentAmount/4.csv",1947,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2266,"loantype,LoanAmount,DocumentCharge,ResidenceType,RentAmount/1.csv",23855,0.0,0.97,0.03,0.0,0.5,0.5,0.03
2267,"loantype,LoanAmount,DocumentCharge,ResidenceType,RentAmount/5.csv",591,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2270,"loantype,EMI,InsuranceRate,RentAmount,NoOfDependents/4.csv",963,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2273,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate/3.csv",4439,0.0,0.97,0.03,0.0,0.6,0.4,0.03
2276,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate/1.csv",9714,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2283,"LoanAmount,DocumentCharge,InterestRate,InsuranceRate,NoOfDependents/3.csv",2612,0.0,0.97,0.03,0.0,0.65,0.35,0.03
2286,"LoanAmount,DocumentCharge,InterestRate,InsuranceRate,NoOfDependents/1.csv",9717,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2287,"LoanAmount,DocumentCharge,InterestRate,InsuranceRate,NoOfDependents/5.csv",5780,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2289,"LoanAmount,EMI,InsuranceRate/2.csv",6436,0.0,0.97,0.03,0.0,0.52,0.48,0.03
2293,"ResidenceType,NoOfDependents/3.csv",1963,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2294,"ResidenceType,NoOfDependents/2.csv",9049,0.0,0.97,0.03,0.0,0.55,0.45,0.03
2299,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,NoOfDependents/1.csv",7341,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2300,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,NoOfDependents/5.csv",3958,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2304,"EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount/1.csv",14045,0.0,0.97,0.03,0.0,0.46,0.54,0.03
2308,"EMI,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",1963,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2310,"DocumentCharge,InterestRate,RentAmount/3.csv",6820,0.0,0.97,0.03,0.0,0.51,0.49,0.03
2312,"DocumentCharge,InterestRate,RentAmount/4.csv",6326,0.0,0.97,0.03,0.0,0.43,0.57,0.03
2313,"DocumentCharge,InterestRate,RentAmount/1.csv",8089,0.0,0.97,0.03,0.0,0.58,0.42,0.03
2314,"DocumentCharge,InterestRate,RentAmount/5.csv",2217,0.0,0.97,0.03,0.0,0.33,0.67,0.03
2315,"loantype,DocumentCharge,InsuranceAmount,ResidenceType,RentAmount/3.csv",8561,0.0,0.97,0.03,0.0,0.55,0.45,0.03
2316,"loantype,DocumentCharge,InsuranceAmount,ResidenceType,RentAmount/2.csv",4577,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2317,"loantype,DocumentCharge,InsuranceAmount,ResidenceType,RentAmount/4.csv",1947,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2319,"loantype,DocumentCharge,InsuranceAmount,ResidenceType,RentAmount/5.csv",584,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2321,"LoanAmount,EMI,InterestRate,ResidenceType/2.csv",3233,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2324,"LoanAmount,EMI,InterestRate,ResidenceType/5.csv",5903,0.0,0.97,0.03,0.0,0.58,0.42,0.03
2330,"InterestRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",9136,0.0,0.97,0.03,0.0,0.54,0.46,0.03
2333,"InterestRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",12139,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2334,"InterestRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",1963,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2338,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/1.csv",9714,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2339,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/5.csv",5783,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2345,"loantype,DocumentCharge,InsuranceAmount,ResidenceType/3.csv",8561,0.0,0.97,0.03,0.0,0.55,0.45,0.03
2346,"loantype,DocumentCharge,InsuranceAmount,ResidenceType/2.csv",4570,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2347,"loantype,DocumentCharge,InsuranceAmount,ResidenceType/4.csv",1947,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2350,"loantype,InsuranceRate,ResidenceType,NoOfDependents/3.csv",4577,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2353,"loantype,InsuranceRate,ResidenceType,NoOfDependents/1.csv",10407,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2355,"LoanAmount,InterestRate,ResidenceType,NoOfDependents/3.csv",10011,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2356,"LoanAmount,InterestRate,ResidenceType,NoOfDependents/2.csv",3050,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2357,"LoanAmount,InterestRate,ResidenceType,NoOfDependents/4.csv",1963,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2364,"loantype,LoanAmount,EMI,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",584,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2366,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType/2.csv",4577,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2367,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType/4.csv",1947,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2369,"loantype,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType/5.csv",584,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2370,"loantype,InsuranceRate,RentAmount,NoOfDependents/3.csv",4198,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2389,"LoanAmount,EMI/3.csv",5728,0.0,0.97,0.03,0.0,0.5,0.5,0.03
2390,"LoanAmount,EMI/2.csv",4157,0.0,0.97,0.03,0.0,0.59,0.41,0.03
2397,"loantype,InsuranceRate,RentAmount/1.csv",11299,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2400,"loantype,DocumentCharge,EMI,InterestRate,ResidenceType,NoOfDependents/2.csv",4570,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2401,"loantype,DocumentCharge,EMI,InterestRate,ResidenceType,NoOfDependents/4.csv",1947,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2402,"loantype,DocumentCharge,EMI,InterestRate,ResidenceType,NoOfDependents/1.csv",23855,0.0,0.97,0.03,0.0,0.5,0.5,0.03
2403,"loantype,DocumentCharge,EMI,InterestRate,ResidenceType,NoOfDependents/5.csv",591,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2404,"loantype,DocumentCharge,InterestRate,InsuranceAmount,RentAmount/3.csv",5161,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2407,"loantype,DocumentCharge,InterestRate,InsuranceAmount,RentAmount/1.csv",7195,0.0,0.97,0.03,0.0,0.5,0.5,0.03
2408,"loantype,DocumentCharge,InterestRate,InsuranceAmount,RentAmount/5.csv",4554,0.0,0.97,0.03,0.0,0.39,0.61,0.03
2410,"DocumentCharge,EMI,InsuranceAmount,ResidenceType,NoOfDependents/2.csv",9136,0.0,0.97,0.03,0.0,0.54,0.46,0.03
2411,"DocumentCharge,EMI,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",1963,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2413,"DocumentCharge,EMI,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",5565,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2417,"InsuranceRate,InsuranceAmount,RentAmount/1.csv",15497,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2418,"InsuranceRate,InsuranceAmount,RentAmount/5.csv",2383,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2419,"LoanAmount,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",10199,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2421,"LoanAmount,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",1963,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2423,"LoanAmount,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",5905,0.0,0.97,0.03,0.0,0.58,0.42,0.03
2424,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/3.csv",4198,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2426,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/4.csv",963,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2429,"loantype,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,NoOfDependents/3.csv",4198,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2431,"loantype,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,NoOfDependents/4.csv",963,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2432,"loantype,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,NoOfDependents/1.csv",11299,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2434,"loantype,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",4577,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2442,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount/1.csv",8983,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2443,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount/5.csv",1201,0.0,0.97,0.03,0.0,0.46,0.54,0.03
2448,"loantype,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",584,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2450,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType,RentAmount/2.csv",3252,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2453,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceAmount,ResidenceType,RentAmount/5.csv",5884,0.0,0.97,0.03,0.0,0.58,0.42,0.03
2454,"LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType/3.csv",9136,0.0,0.97,0.03,0.0,0.54,0.46,0.03
2456,"LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType/4.csv",1700,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2457,"LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType/1.csv",9050,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2463,"InsuranceAmount,RentAmount/5.csv",1042,0.0,0.97,0.03,0.0,0.39,0.61,0.03
2464,"DocumentCharge,ResidenceType,NoOfDependents/3.csv",6861,0.0,0.97,0.03,0.0,0.4,0.6,0.03
2465,"DocumentCharge,ResidenceType,NoOfDependents/2.csv",9088,0.0,0.97,0.03,0.0,0.55,0.45,0.03
2466,"DocumentCharge,ResidenceType,NoOfDependents/4.csv",1963,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2472,"loantype,InterestRate,InsuranceRate,InsuranceAmount,RentAmount/5.csv",9728,0.0,0.97,0.03,0.0,0.49,0.51,0.03
2473,"loantype,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/3.csv",4198,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2476,"loantype,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",11299,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2479,"loantype,EMI,InsuranceRate,InsuranceAmount/2.csv",8383,0.0,0.97,0.03,0.0,0.5,0.5,0.03
2480,"loantype,EMI,InsuranceRate,InsuranceAmount/4.csv",963,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2483,"loantype,EMI,InterestRate,InsuranceRate,ResidenceType/3.csv",4577,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2487,"loantype,EMI,InterestRate,InsuranceRate,ResidenceType/5.csv",584,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2488,"loantype,LoanAmount,InterestRate,InsuranceRate,RentAmount,NoOfDependents/3.csv",4198,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2490,"loantype,LoanAmount,InterestRate,InsuranceRate,RentAmount,NoOfDependents/4.csv",963,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2496,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/1.csv",14045,0.0,0.97,0.03,0.0,0.46,0.54,0.03
2497,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",1452,0.0,0.97,0.03,0.0,0.43,0.57,0.03
2502,"DocumentCharge,InsuranceRate,NoOfDependents/5.csv",2960,0.0,0.97,0.03,0.0,0.36,0.64,0.03
2504,"LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/2.csv",16586,0.0,0.97,0.03,0.0,0.54,0.46,0.03
2505,"LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/4.csv",5942,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2506,"LoanAmount,DocumentCharge,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",9451,0.0,0.97,0.03,0.0,0.52,0.48,0.03
2509,"loantype,EMI/2.csv",3206,0.0,0.97,0.03,0.0,0.48,0.52,0.03
2516,"DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",10546,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2517,"DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/5.csv",4951,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2518,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,RentAmount/3.csv",5161,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2521,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,RentAmount/1.csv",7282,0.0,0.97,0.03,0.0,0.47,0.53,0.03
2523,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount/3.csv",4198,0.0,0.97,0.03,0.0,0.45,0.55,0.03
2525,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount/4.csv",963,0.0,0.97,0.03,0.0,0.44,0.56,0.03
2528,"DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/3.csv",9136,0.0,0.97,0.03,0.0,0.54,0.46,0.03
2529,"DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/2.csv",12471,0.0,0.97,0.03,0.0,0.51,0.49,0.03
2530,"DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/4.csv",6843,0.0,0.97,0.03,0.0,0.4,0.6,0.03
2531,"DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/1.csv",9111,0.0,0.97,0.03,0.0,0.54,0.46,0.03
2532,"DocumentCharge,InterestRate,ResidenceType,RentAmount,NoOfDependents/5.csv",1963,0.0,0.97,0.03,0.0,0.41,0.59,0.03
2535,"DocumentCharge,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/4.csv",1700,0.0,0.97,0.03,0.0,0.42,0.58,0.03
2536,"DocumentCharge,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/1.csv",14045,0.0,0.97,0.03,0.0,0.46,0.54,0.03
2537,"DocumentCharge,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/5.csv",1452,0.0,0.97,0.03,0.0,0.43,0.57,0.03
